Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,17,Sat,2018-12-22,18:30,Eint Frankfurt,1.1,0–3,1.9,Bayern Munich,51500,Commerzbank-Arena,Manuel Gräfe,Match Report,
Regular Season,17,Sun,2018-12-23,15:30,Augsburg,0.9,2–3,2.1,Wolfsburg,28152,WWK Arena,Sören Storks,Match Report,
Regular Season,17,Sun,2018-12-23,18:00,Hoffenheim,3.1,1–1,1.3,Mainz 05,28216,PreZero Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,,,,
Regular Season,18,Fri,2019-01-18,20:30,Hoffenheim,1.0,1–3,2.7,Bayern Munich,30150,PreZero Arena,Tobias Welz,Match Report,
Regular Season,18,Sat,2019-01-19,15:30,Hannover 96,0.9,0–1,2.7,Werder Bremen,44300,HDI-Arena,Marco Fritz,Match Report,
Regular Season,18,Sat,2019-01-19,15:30,Leverkusen,1.8,0–1,0.7,M'Gladbach,29628,BayArena,Daniel Siebert,Match Report,
Regular Season,18,Sat,2019-01-19,15:30,Eint Frankfurt,2.7,3–1,1.6,Freiburg,49200,Commerzbank-Arena,Sven Jablonski,Match Report,
Regular Season,18,Sat,2019-01-19,15:30,Stuttgart,2.8,2–3,1.7,Mainz 05,51881,Mercedes-Benz Arena,Tobias Stieler,Match Report,
Regular Season,18,Sat,2019-01-19,15:30,Augsburg,0.8,1–2,1.1,Düsseldorf,27568,WWK Arena,Christian Dingert,Match Report,
Regular Season,18,Sat,2019-01-19,18:30,RB Leipzig,1.3,0–1,1.0,Dortmund,41939,Red Bull Arena,Deniz Aytekin,Match Report,
Regular Season,18,Sun,2019-01-20,15:30,Nürnberg,1.0,1–3,2.3,Hertha BSC,36112,Max-Morlock-Stadion,Guido Winkmann,Match Report,
Regular Season,18,Sun,2019-01-20,18:00,Schalke 04,2.5,2–1,1.4,Wolfsburg,58827,Veltins-Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,,,,
Regular Season,19,Fri,2019-01-25,20:30,Hertha BSC,0.9,2–2,1.0,Schalke 04,43027,Olympiastadion Berlin,Felix Brych,Match Report,
Regular Season,19,Sat,2019-01-26,15:30,Mainz 05,3.0,2–1,0.5,Nürnberg,22005,Opel Arena,Bastian Dankert,Match Report,
Regular Season,19,Sat,2019-01-26,15:30,Dortmund,2.2,5–1,0.8,Hannover 96,81365,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,19,Sat,2019-01-26,15:30,Freiburg,2.0,2–4,2.5,Hoffenheim,23900,Schwarzwald-Stadion,Bibiana Steinhaus,Match Report,
Regular Season,19,Sat,2019-01-26,15:30,Wolfsburg,0.7,0–3,3.1,Leverkusen,21736,Volkswagen Arena,Felix Zwayer,Match Report,
Regular Season,19,Sat,2019-01-26,15:30,M'Gladbach,1.9,2–0,0.6,Augsburg,42509,Stadion im Borussia-Park,Harm Osmers,Match Report,
Regular Season,19,Sat,2019-01-26,18:30,Werder Bremen,3.5,2–2,1.6,Eint Frankfurt,42100,Weserstadion,Markus Schmidt,Match Report,
Regular Season,19,Sun,2019-01-27,15:30,Bayern Munich,2.2,4–1,0.9,Stuttgart,75000,Allianz Arena,Frank Willenborg,Match Report,
Regular Season,19,Sun,2019-01-27,18:00,Düsseldorf,0.3,0–4,2.4,RB Leipzig,34394,Merkur Spielarena,Robert Hartmann,Match Report,
,,,,,,,,,,,,,,
Regular Season,20,Fri,2019-02-01,20:30,Hannover 96,0.1,0–3,3.0,RB Leipzig,32400,HDI-Arena,Daniel Schlager,Match Report,
Regular Season,20,Sat,2019-02-02,15:30,Hoffenheim,1.8,1–1,0.9,Düsseldorf,24747,PreZero Arena,Benjamin Cortus,Match Report,
