match_id,home,round,season,team,xg,xg_against,score,score_against
211,0,22,2017-18,Mainz 05,1.4,2.5,2,4
212,1,22,2017-18,Leverkusen,1.0,0.8,0,2
212,0,22,2017-18,Hertha BSC,0.8,1.0,2,0
213,1,22,2017-18,Hannover 96,1.0,1.1,2,1
213,0,22,2017-18,Freiburg,1.1,1.0,1,2
214,1,22,2017-18,Eint Frankfurt,2.2,1.4,4,2
214,0,22,2017-18,Köln,1.4,2.2,2,4
215,1,22,2017-18,Dortmund,2.3,0.6,2,0
215,0,22,2017-18,Hamburger SV,0.6,2.3,0,2
216,1,22,2017-18,Bayern Munich,1.8,0.7,2,1
216,0,22,2017-18,Schalke 04,0.7,1.8,1,2
217,1,22,2017-18,Stuttgart,0.7,0.9,1,0
217,0,22,2017-18,M'Gladbach,0.9,0.7,0,1
218,1,22,2017-18,Werder Bremen,1.0,1.9,3,1
218,0,22,2017-18,Wolfsburg,1.9,1.0,1,3
220,1,23,2017-18,Hertha BSC,0.5,1.6,0,2
220,0,23,2017-18,Mainz 05,1.6,0.5,2,0
221,1,23,2017-18,Köln,0.3,1.6,1,1
221,0,23,2017-18,Hannover 96,1.6,0.3,1,1
222,1,23,2017-18,Freiburg,1.9,0.5,1,0
222,0,23,2017-18,Werder Bremen,0.5,1.9,0,1
223,1,23,2017-18,Wolfsburg,0.3,2.7,1,2
223,0,23,2017-18,Bayern Munich,2.7,0.3,2,1
224,1,23,2017-18,Hamburger SV,1.0,2.2,1,2
224,0,23,2017-18,Leverkusen,2.2,1.0,2,1
225,1,23,2017-18,Schalke 04,1.2,0.5,2,1
225,0,23,2017-18,Hoffenheim,0.5,1.2,1,2
226,1,23,2017-18,Augsburg,0.5,1.6,0,1
226,0,23,2017-18,Stuttgart,1.6,0.5,1,0
227,1,23,2017-18,M'Gladbach,2.4,0.5,0,1
227,0,23,2017-18,Dortmund,0.5,2.4,1,0
228,1,23,2017-18,Eint Frankfurt,1.2,0.6,2,1
